GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
megachess,com.megachess.client,MegachessClient,438,0,30,0,92,0,29,0,8,0
megachess,com.megachess.client,MoveComparator,11,0,0,0,2,0,2,0,2,0
megachess,com.megachess.chesspiece,Knight,1003,0,64,0,62,0,43,0,11,0
megachess,com.megachess.chesspiece,ChessPiece,133,34,14,0,35,11,21,5,14,5
megachess,com.megachess.chesspiece,King,945,0,56,0,62,0,39,0,11,0
megachess,com.megachess.chesspiece,Queen,81,810,4,52,9,61,5,34,1,10
megachess,com.megachess.chesspiece,NullPiece,1,8,0,0,1,3,1,2,1,2
megachess,com.megachess.chesspiece,Rook,37,402,0,24,5,33,1,18,1,6
megachess,com.megachess.chesspiece,Bishop,651,0,48,0,46,0,31,0,7,0
megachess,com.megachess.chesspiece,Pawn,581,26,39,2,45,7,29,3,9,2
